time,open,high,low,close,vwap,volume,count
2019-04-04,4971.2,5464.0,4782.1,5321.0,5130.4,49778.03307158,115940
2019-04-11,5321.4,5343.4,4920.0,5224.9,5109.5,32908.38528359,89197
2019-04-18,5225.0,5645.0,5191.9,5442.2,5396.2,35250.17079263,90408
2019-04-25,5442.2,5510.5,4357.1,5323.3,5207.5,38457.67512671,93850
2019-05-02,5323.2,5983.2,5309.6,5939.6,5709.5,46999.71696245,103033
2019-05-09,5942.0,8339.9,5933.2,8203.0,7294.5,103872.12294987,287339
2019-05-16,8201.5,8370.0,6636.0,7622.1,7706.0,84212.2981608,224444
2019-05-23,7623.1,8953.4,7470.0,8663.2,8334.0,47776.88297072,140561
2019-05-30,8664.1,9094.4,7425.0,7787.1,8219.6,60060.39968354,175140
2019-06-06,7787.8,8286.8,7440.0,8171.0,7882.6,44520.96315479,130339
2019-06-13,8171.0,9470.0,8005.0,9277.1,8895.8,50030.88524167,182285
2019-06-20,9282.1,13875.7,9213.2,12933.7,11260.5,77080.04844919,306802
2019-06-27,12933.2,13360.9,9666.0,11979.8,11227.8,106876.39094619,374216
2019-07-04,11984.7,13197.8,10601.0,12096.2,11882.7,54965.37219784,221524
2019-07-11,12096.0,12096.0,9099.0,9703.9,10620.4,72869.52837219,275401
2019-07-18,9701.3,11210.0,9250.1,9769.8,10231.0,55678.13778214,186511
2019-07-25,9770.0,10204.6,9120.0,10090.1,9727.8,34305.86233369,130819
2019-08-01,10090.3,12340.0,9882.4,11962.7,11226.5,49665.2714903,176167
2019-08-08,11973.3,12065.0,9900.0,10018.0,11206.8,36191.93824376,153357
2019-08-15,10018.0,10959.0,9490.0,10125.0,10248.0,44710.82446943,168358
2019-08-22,10125.0,10697.9,9533.0,9716.1,10126.0,36309.62844993,140322
2019-08-29,9714.9,10892.1,9307.8,10584.9,10057.2,34033.51843147,122610
2019-09-05,10585.0,10947.0,9886.5,10160.7,10361.7,30561.59829667,96342
2019-09-12,10161.0,12000.0,8000.0,10157.6,10263.0,21694.73931,78898
2019-09-19,10157.7,10375.0,8000.0,8439.0,9193.5,44204.90648499,155404
2019-09-26,8439.0,8540.0,7655.0,8382.3,8143.6,46266.20171308,158632
2019-10-03,8382.2,8690.0,7769.7,8590.8,8174.8,32393.51655849,91701
2019-10-10,8589.9,8932.5,7916.0,8000.0,8335.0,24969.25788131,72116
2019-10-17,8000.1,8387.3,7302.0,7475.0,7934.4,31135.94541602,85827
2019-10-24,7473.9,10580.5,7360.0,9166.2,9108.6,64211.72154619,179606
2019-10-31,9163.9,9600.0,8949.6,9338.4,9268.0,23397.31455107,87981
2019-11-07,9339.6,9375.0,8560.0,8762.1,8869.8,22571.52014907,74858
2019-11-14,8763.9,8785.0,7987.2,8083.1,8354.6,23361.87637435,70106
2019-11-21,8083.1,8116.5,6525.0,7525.9,7223.3,57078.22329309,147723
2019-11-28,7523.8,7867.5,7068.2,7190.5,7443.5,35382.37764222,100177
2019-12-05,7196.2,7666.0,7125.0,7202.0,7379.7,27772.15973775,78330
2019-12-12,7201.9,7488.2,6430.2,7287.9,6967.7,34752.38289191,88747
2019-12-19,7293.4,7690.5,7045.0,7192.1,7294.4,30433.74735317,69947
2019-12-26,7193.0,7531.4,6934.8,7174.4,7253.3,21352.54140764,59011
2020-01-02,7174.4,8464.3,6860.0,8043.3,7698.9,46642.54927461,136357
2020-01-09,8043.3,8900.0,7666.3,8810.3,8322.9,47580.6263687,128855
2020-01-16,8808.4,9185.0,8333.0,8659.0,8767.9,36956.05085966,101666
2020-01-23,8658.9,9438.3,8215.2,9280.9,8758.7,36394.94126979,101576
2020-01-30,9281.2,9765.0,9060.0,9616.2,9371.9,33554.79664667,98202
2020-02-06,9612.8,10486.9,9520.0,10354.6,9987.6,37895.51330585,111212
2020-02-13,10352.6,10516.6,9346.0,9602.2,10014.1,34218.8356179,124195
2020-02-20,9602.0,10022.8,8645.0,8783.5,9433.6,27451.31987874,95454
2020-02-27,8783.3,8968.0,8405.0,8758.7,8714.7,27495.88341977,87341
2020-03-05,8758.4,9213.0,7589.0,7943.3,8279.5,42574.52987391,127659
2020-03-12,7961.3,7967.3,3913.1,5415.2,5412.0,171377.09886059,499175
2020-03-19,5419.3,7020.0,5270.1,6689.9,6267.7,111180.76520107,299522
2020-03-26,6690.0,6869.0,5851.0,6662.9,6394.2,60966.63634198,161605
2020-04-02,6662.9,7474.9,6576.4,7368.0,7002.0,70011.83939992,181980
2020-04-09,7366.3,7378.1,6560.0,6619.8,6935.5,52310.92548158,145855
2020-04-16,6618.1,7300.0,6478.6,7136.9,7002.8,46347.80791868,123458
2020-04-23,7136.8,8978.0,7035.2,8779.9,7846.7,60021.52952821,150210
2020-04-30,8779.9,9487.9,8410.0,9166.1,8946.5,73657.11262707,212612
2020-05-07,9163.1,10080.2,7995.6,9317.1,9142.8,92382.05194884,272741
